title,source,published_at,description,url
"SEBI fines CDSL, two former executives over 2022 malware attack lapses",BusinessLine,2026-07-20T15:03:24Z,"Regulator says cybersecurity failures exposed critical systems to attack; imposes monetary penalties on depository and former CISO, CTO",https://www.thehindubusinessline.com/markets/sebi-fines-cdsl-two-former-executives-over-2022-malware-attack-lapses/article71246046.ece
Neo emerges from stealth with $100M to secure enterprise AI software,Crypto Briefing,2026-07-20T15:03:20Z,"Neo exits stealth mode with $100M to build enterprise AI security software, with major implications for crypto exchanges and digital asset protection.
The post Neo emerges from stealth with $100M to secure enterprise AI software appeared first on Crypto Brief…",https://cryptobriefing.com/neo-100m-enterprise-ai-security/
AI Platform Hugging Face Fends Off Hack From... AI,PCMag.com,2026-07-20T14:59:32Z,"The intrusion was traced to an autonomous AI agent capable of executing 'many thousands of individual actions,' the company says.
Hugging Face, an online platform that hosts AI models, has suffered a breach that apparently came from an autonomous AI program. …",https://uk.pcmag.com/ai/166233/ai-platform-hugging-face-fends-off-hack-from-ai
Neo Emerges From Stealth With $100M to Control and Secure Enterprise AI Software,Securityweek.com,2026-07-20T14:54:03Z,"Neo raised money across seed and Series A funding rounds from Andreessen Horowitz, Bessemer Venture Partners, and others.
The post Neo Emerges From Stealth With $100M to Control and Secure Enterprise AI Software appeared first on SecurityWeek.",https://www.securityweek.com/neo-emerges-from-stealth-with-100m-to-control-and-secure-enterprise-ai-software/
LG Monitors Spotted Installing Adware-Like App on Windows PCs,HackRead,2026-07-20T14:47:57Z,"Connecting certain LG monitors prompts Windows Update to install an LG app without consent, while the software runs at startup and displays McAfee trial adverts.",https://hackread.com/lg-monitors-install-adware-app-windows-pcs/
Brazilian Securities Watchdog Takes Closer Look at Tokenization,pymnts.com,2026-07-20T14:42:32Z,"Brazil’s securities regulator has established a working group to explore tokenized securities. This working group, the Comissão de Valores Mobiliários (CVM) announced Friday (July 17), will draft an experimental framework that examines the registration, custo…",https://www.pymnts.com/blockchain/2026/brazilian-securities-watchdog-takes-closer-look-at-tokenization/
Why the next battle for technology IPOs begins years before companies go public,SiliconANGLE News,2026-07-20T14:41:55Z,"When most people think about the New York Stock Exchange, they think about listing day. The opening bell. CNBC. The trading floor. The moment a private company becomes public. What they don’t see are the years leading up to that moment. Increasingly, that’s w…",https://siliconangle.com/2026/07/20/next-battle-technology-ipos-begins-years-companies-go-public/
Sebi imposes Rs 1 crore penalty on CDSL over 2022 malware attack,The Times of India,2026-07-20T14:41:33Z,"Sebi has imposed a Rs 1 crore penalty on CDSL for cybersecurity failures that enabled a 2022 malware attack, disrupting depository operations and market settlements. The regulator cited inadequate protection of critical systems, weak access controls and poor …",https://economictimes.indiatimes.com/markets/stocks/news/sebi-imposes-rs-1-crore-penalty-on-cdsl-over-2022-malware-attack/articleshow/132518202.cms
ServiceNow pre-auth RCE exploited in the wild (CVE-2026-6875),Help Net Security,2026-07-20T14:32:31Z,"Attackers have begun exploiting CVE-2026-6875, a critical pre-authentication vulnerability in the ServiceNow AI Platform, according to threat intelligence firm Defused. About the vulnerability ServiceNow AI is a Platform-as-a-Service that lets organizations b…",https://www.helpnetsecurity.com/2026/07/20/servicenow-cve-2026-6875-exploited/
"NEW 5W AI COMMUNICATIONS STUDY: THE PAYWALL PENALTY. WSJ, FT, BLOOMBERG, NYT GET ZERO AI CITATIONS",PRNewswire,2026-07-20T14:30:00Z,"Research shows hard-paywall and metered publishers captured 0% of AI-retrieval citations across 40 queries. Open-web publishers captured 91.3% MIAMI, July 20, 2026 /PRNewswire/ -- Seven of the most powerful newsrooms on the planet — The Wall Street Journal, F…",https://www.prnewswire.com/news-releases/new-5w-ai-communications-study-the-paywall-penalty-wsj-ft-bloomberg-nyt-get-zero-ai-citations-302829644.html
