title,source,published_at,description,url
Comics Folk React To Steve Wacker As Marvel EIC… Many Called Tom,Bleeding Cool News,2026-07-20T13:58:09Z,"At Marvel Comics, Steve Wacker was editorially responsible for Amazing Spider-Man One More Day/Brand New Day, Matt Fraction/David Aja Hawkeye, the Mark Waid/Christopher Samnee Daredevil, the Sana Amanat/G. Willow Wilson/Adrian Alphona/Jamie McKelvie Ms Marvel…",https://bleedingcool.com/comics/comics-folk-react-to-steve-wacker-as-marvel-eic-many-called-tom/
Marvel’s Move From New York To Burbank Is The End Of Several Eras,Forbes,2026-07-16T18:24:01Z,Marvel is moving its offices west and replacing its Editor-in-Chief as changes continue for the Disney-owned super-brand.,https://www.forbes.com/sites/robsalkowitz/2026/07/16/marvels-move-from-new-york-to-burbank-is-the-end-of-several-eras/
How UK's poshest garden centre is cashing in on 'old junk': Rusted tables and paint-peel chairs you might overlook at a car boot sale go for up to four figures at Surrey nurseries loved by celebrities,Dailymail.com,2026-07-16T10:03:55Z,"Amongst the pots of lavender and petunias at upmarket Petersham Nurseries, close to the River Thames, is some expensive garden furniture that's a little jaded to say the least.",https://www.dailymail.com/lifestyle/article-15979043/posh-garden-centre-Petersham-nurseries-Surrey-junk.html
The 6 best free things to do in London this weekend [July 17-19 2026],Time Out,2026-07-16T06:00:16Z,"A climbing festival, Soho Village Fete, an east London art biennale and Nelson Mandela Day celebrations all feature in our wallet-friendly roundup",https://www.timeout.com/london/news/free-things-to-do-weekend-july-17-19-2026-071626
"Spider-Man: Brand New Day Star Tom Holland Says The ""Last Frame"" Of The Movie Will Explain The Title",CBM (Comic Book Movie),2026-07-15T12:23:16Z,Spider-Man: Brand New Day star Tom Holland appears to have hinted that the movie will end with some sort of plot twist that will explain the title...,https://comicbookmovie.com/spider_man/spider_man-brand-new-day/spider-man-brand-new-day-star-tom-holland-says-the-last-frame-of-the-movie-will-explain-the-title-a228818
‘Supergirl’ Is The Worst-Earning DC Movie Since 2004’s ‘Catwoman’,Forbes,2026-07-11T12:40:45Z,"Supergirl isn't just a bomb, it's one of the worst-earning DC movies ever, at least in the last 22 years. Maybe even more, adjusting for inflation.",https://www.forbes.com/sites/paultassi/2026/07/11/supergirl-is-the-worst-earning-dc-movie-since-2004s-catwoman/
"SPIDER-MAN: BRAND NEW DAY Art Book Leak Reveals Alternate Punisher, Savage Hulk, and Villain Designs",GeekTyrant,2026-07-10T18:00:00Z,"Spider-Man: Brand New Day is almost here, and fans are grabbing onto every new detail they can find. With the movie only weeks away, the marketing campaign has started peeling back the curtain just enough to keep excitement climbing, and now an unexpected lea…",https://geektyrant.com/news/spider-man-brand-new-day-art-book-leak-reveals-alternate-punisher-savage-hulk-and-villain-designs
"Spider-Man: Brand New Day Artbook Leak Reveals Epic Spoiler Showdown, Grey Hulk, Punisher, Peter/MJ & Villains",CBM (Comic Book Movie),2026-07-08T18:50:02Z,"Well, here's something unexpected as a preview for the upcoming Spider-Man: Brand New Day - The Art Of The Movie book has surfaced online, offering multiple spoiler-y new looks at the Marvel blockbuster.",https://comicbookmovie.com/spider_man/spider_man-brand-new-day/spider-man-brand-new-day-artbook-leak-reveals-epic-spoiler-showdown-grey-hulk-punisher-peter-mj-villains-a228695
Spider-Man: Brand New Day: We Finally Know What Marvel Was Shooting In Wembley Last Month,CBM (Comic Book Movie),2026-07-05T11:21:00Z,"We've finally learned what Spider-Man was doing in Wembley last month, and it wasn't for Avengers: Doomsday. We also have news on Peter Parker's status quo in Spider-Man: Brand New Day.",https://comicbookmovie.com/spider_man/spider_man-brand-new-day/spider-man-brand-new-day-we-finally-know-what-marvel-was-shooting-in-wembley-last-month-a228645
Spider-Man: Brand New Day: We Finally What Marvel Was Shooting In Wembley Last Month,CBM (Comic Book Movie),2026-07-05T10:23:42Z,"We've finally learned what Spider-Man was doing in Wembley last month, and it wasn't for Avengers: Doomsday. We also have news on Peter Parker's status quo in Spider-Man: Brand New Day.",https://comicbookmovie.com/spider_man/spider_man-brand-new-day/spider-man-brand-new-day-we-finally-what-marvel-was-shooting-in-wembley-last-month-a228645
Creator Says Fans Worried By Danganronpa 2×2′s Surprise Delay Can Just Play GTA 6 While They Wait,Kotaku,2026-07-04T13:51:14Z,The designers revealed fresh details at Anime Expo 2026,https://kotaku.com/creator-says-fans-worried-by-danganronpa-2x2s-surprise-delay-can-just-play-gta-6-while-they-wait-2000712572
